,Unnamed: 0,asin,feature
9,9,B00000IUBJ, 'twinkle'
17,17,B00000IZOR, 'phone'
18,18,B00000IZQX, 'ship'
20,20,B00000J03J, 'bright'
21,21,B00000J03J, 'coordination'
24,24,B00000J421, 'n'
27,27,B00000J4YP, 'stylish'
34,34,B00004SCWA, 'train'
36,36,B00004T2WP, 'converts'
41,41,B00004U3FX, 'crayons'
42,42,B00004WCHW, 'lb'
43,43,B00004WCI0, 'coordination'
44,44,B00004WCI0, 'handles'
46,46,B00004YT13, 'maneuverability'
47,47,B00004YT13, 'award'
48,48,B00004YT13, 'radio'
49,49,B00004YT2Q, 'combine'
53,53,B000059EI0, 'sleek'
55,55,B00005AWB5, 'packaging'
56,56,B00005BHK3, 'bright'
62,62,B00005BVK7, 'developmental'
63,63,B00005BYWN, 'sunny'
64,64,B00005CES0, 'developmental'
65,65,B00005CES0, 'phone'
67,67,B00005KBVD, 'playroom'
68,68,B00005KBVD, 'bright'
69,69,B00005LBZO, 'surfaces'
70,70,B00005LBZO, 'sleek'
73,73,B00005N9YL, 'n'
74,74,B00005N9YL, 'products'
80,80,B00005QYYB, 'developmental'
86,86,B000062XQ4, 'phrases'
87,87,B000062XQ4, 'crayons'
104,104,B00007G39I, 'endearing'
105,105,B00007G39I, 'award'
118,118,B00009KWTB, 'products'
122,122,B00009XO8U, 'demolition'
123,123,B00009XO8U, 'provides'
126,126,B0000CED9A, 'seat'
127,127,B0000DJ3FL, 'maneuverability'
137,137,B0001J2NKK, 'converts'
146,146,B000212VH2, 'crayons'
147,147,B000212VH2, 'crayons'
148,148,B000212VH2, 'suction'
149,149,B00021HB90, 'demolition'
154,154,B00022F0WE, 'discover'
155,155,B00022F0WE, 'buttons'
156,156,B000231EKA, 'dexterity'
157,157,B000246L8E, 'mosaic'
158,158,B000284ZNI, 'sing'
178,178,B0002IK9CO, 'handles'
179,179,B0002IK9CO, 'store'
180,180,B0002IK9CO, 'brightly'
211,211,B0006NDB6Q, 'ornaments'
219,219,B00079RC5K, 'grows'
220,220,B00079RC5K, 'grows'
221,221,B0007CSEYA, 'shake'
229,229,B0007WX0NU, 'bright'
230,230,B00080VMF4, 'wheelies'
266,266,B000AM2K56, 'garden'
268,268,B000AS2AL4, 'matching'
271,271,B000B74E9K, 'maneuverability'
272,272,B000B74E9K, 'storage'
273,273,B000BI8EMC, 'award'
275,275,B000BKHY3K, 'apron'
276,276,B000BN8XLY, 'garden'
277,277,B000BN8XLY, 'handles'
278,278,B000BN8YNG, 'suction'
280,280,B000BNEN90, 'suction'
281,281,B000BNEN90, 'mosaic'
284,284,B000BPN3IU, 'coordination'
286,286,B000BR9DNC, 'glider'
287,287,B000BR9DNC, 'includes'
289,289,B000C9DYPW, 'n'
304,304,B000ENRW4U, 'tummy'
