,asin,feature
0,B00000IRTS, 'approximately'
1,B00000IRTS, 'excitement'
2,B00000IRTS, 'start'
3,B00000IRYI, 'flower'
4,B00000IRYI, 'start'
5,B00000IRYM, 'fish'
6,B00000IRYM, 'brightly'
7,B00000IRYM, 'turn'
8,B00000ISFO, 'girl'
9,B00000ISK4, 'month'
10,B00000ISR7, 'duck'
11,B00000ISR7, 'month'
12,B00000IUBJ, 'brightly'
13,B00000IUBJ, 'easily'
14,B00000IUBJ, 'turn'
15,B00000IZEM, 'inside'
16,B00000IZEM, 'underneath'
17,B00000IZEM, 'really'
18,B00000IZOR, 'phone'
19,B00000IZOR, 'classic'
20,B00000IZOR, 'mom'
21,B00000IZOU, 'inside'
22,B00000IZQX, 'bike'
23,B00000IZQX, 'ship'
24,B00000IZQX, 'brightly'
25,B00000IZQX, 'steady'
26,B00000IZQX, 'new'
27,B00000IZQX, 'sit'
28,B00000IZQX, 'easily'
29,B00000IZQX, 'turn'
30,B00000J03J, 'coordination'
31,B00000J03J, 'bright'
32,B00000J03J, 'endless'
33,B00000J03J, 'silly'
34,B00000J421, 'preschool'
35,B00000J421, 'new'
36,B00000J4XU, 'ring'
37,B00000J4XU, 'flower'
38,B00000J4XU, 'circle'
39,B00000J4XU, 'brightly'
40,B00000J4XU, 'finish'
41,B00000J4XU, 'link'
42,B00000J4XU, 'life'
43,B00000J4XU, 'long'
44,B00000J4XU, 'turn'
45,B00000J4XX, 'coordination'
46,B00000J4XX, 'circle'
47,B00000J4XX, 'connect'
48,B00000J4XX, 'build'
49,B00000J4XX, 'link'
50,B00000J4XX, 'start'
51,B00000J4YP, 'tail'
52,B00000J4YP, 'fish'
53,B00000J4YP, 'parent'
54,B00000J9LP, 'brightly'
55,B00000J9LP, 'expand'
56,B00000J9LP, 'choose'
57,B00000K1VR, 'brightly'
58,B00000K1VR, 'lift'
59,B00000K1VR, 'finish'
60,B00000K1VR, 'long'
61,B00000K1VR, 'easily'
62,B00002MZ8A, 'rain'
63,B00002MZ8A, 'tote'
64,B00002MZ8A, 'mower'
65,B00002MZ8A, 'circle'
66,B000031XDE, 'trailer'
67,B000031XDE, 'transport'
68,B000031XDE, 'door'
69,B000031XDE, 'quiet'
70,B000031XDE, 'sell'
71,B00004NKLB, 'classic'
72,B00004NKLB, 'delight'
73,B00004SCWA, 'transport'
74,B00004SCWA, 'boat'
75,B00004SCWA, 'stick'
76,B00004SCWA, 'completely'
77,B00004T2WP, 'ocean'
78,B00004T2WP, 'life'
79,B00004T2WP, 'easily'
80,B00004T58G, 'classic'
81,B00004T58G, 'new'
82,B00004T58G, 'sit'
83,B00004T58G, 'wonder'
84,B00004TXM5, 'tail'
85,B00004TXM5, 'outdoor'
86,B00004TXM5, 'balance'
87,B00004TXM5, 'classic'
88,B00004TXM5, 'parent'
89,B00004U3FX, 'crayon'
90,B00004U3FX, 'picture'
91,B00004U3FX, 'duck'
92,B00004UD77, 'tail'
93,B00004UD77, 'ring'
94,B00004UD77, 'bright'
95,B00004UD77, 'brightly'
96,B00004UD77, 'link'
97,B00004UD77, 'inside'
98,B00004WCHW, 'brightly'
99,B00004WCHW, 'new'
100,B00004WCI0, 'rain'
101,B00004WCI0, 'coordination'
102,B00004WCI0, 'big'
103,B00004YT13, 'classic'
104,B00004YT13, 'versatile'
105,B00004YT13, 'big'
106,B00004YT2Q, 'drain'
107,B00005850G, 'steady'
108,B00005850H, 'steady'
109,B000059EHX, 'transport'
110,B000059EHX, 'plug'
111,B000059EHX, 'door'
112,B000059EHX, 'catch'
113,B000059EHX, 'life'
114,B000059EHX, 'stick'
115,B000059EI0, 'lift'
116,B000059EI0, 'inside'
117,B000059EI0, 'long'
118,B00005AWB5, 'ship'
119,B00005BAHT, 'fitness'
120,B00005BAHT, 'emission'
121,B00005BAHT, 'completely'
122,B00005BHK3, 'brightly'
123,B00005BHK3, 'classic'
124,B00005BTWU, 'delight'
125,B00005BVK7, 'developmental'
126,B00005BYWN, 'grow'
127,B00005BZD5, 'bird'
128,B00005BZD5, 'nickelodeon'
129,B00005BZD5, 'underneath'
130,B00005BZD5, 'choose'
131,B00005CES0, 'developmental'
132,B00005CES0, 'phone'
133,B00005CES0, 'endless'
134,B00005KBVD, 'people'
135,B00005KBVD, 'roller'
136,B00005LBZO, 'brightly'
137,B00005N9YL, 'new'
138,B00005OAQV, 'picture'
139,B00005OAQV, 'bike'
140,B00005OAQV, 'versatile'
141,B00005QYYB, 'developmental'
142,B00005QYYB, 'new'
143,B00005V3UU, 'ring'
144,B00005V3UU, 'phone'
145,B00005V3UU, 'sing'
146,B00005YVRP, 'fish'
147,B00005YVRP, 'ocean'
148,B00005YVRP, 'parent'
149,B00005YVRP, 'inside'
150,B000062XQ4, 'crayon'
151,B000062XQ4, 'preschool'
152,B000062XQ4, 'book'
153,B000062XQ4, 'life'
154,B000062XQ4, 'expand'
155,B0000663SF, 'door'
156,B0000663SF, 'brightly'
157,B0000663SF, 'catch'
158,B000066983, 'preschool'
159,B000066983, 'slide'
160,B00007G39I, 'ring'
161,B00007G39I, 'track'
162,B00007G39I, 'silly'
163,B0000859QK, 'quiet'
164,B0000859QK, 'assurance'
165,B00008O0ZY, 'sing'
166,B00008O0ZY, 'big'
167,B00008O0ZY, 'start'
168,B00008O0ZY, 'turn'
169,B00008O0ZY, 'really'
170,B00008PW0J, 'approximately'
171,B00008PW0J, 'inside'
172,B00008W75U, 'introduce'
173,B00008W75U, 'sense'
174,B00008X35E, 'hug'
175,B00008X35E, 'stage'
176,B00009KWTB, 'wash'
177,B00009KWTB, 'brightly'
178,B00009KWTB, 'new'
179,B00009KWTB, 'easily'
180,B0000B36QU, 'outdoor'
181,B0000B36QU, 'grow'
182,B0000CED9A, 'link'
183,B0000CED9A, 'choose'
184,B0000DG5TB, 'bike'
185,B0000DH5T9, 'north'
186,B0000DH5T9, 'new'
187,B0000DJ3FL, 'developmental'
188,B0000DJ3FL, 'fitness'
189,B0000DJ3FL, 'stage'
190,B0000DJ3FL, 'physical'
191,B0000DJ3FL, 'versatile'
192,B00017ILJ4, 'perform'
193,B00017ILJ4, 'service'
194,B00017ILJ4, 'fuel'
195,B00017ILJ4, 'independence'
196,B00017ILJ4, 'assurance'
197,B0001J2NKK, 'steady'
198,B0001J2NKK, 'start'
199,B0001U2CFU, 'cookie'
200,B0001VUNUK, 'ring'
201,B0001VUNUK, 'parent'
202,B0001VUNUK, 'long'
203,B0001X0DQW, 'ring'
204,B0001X0DQW, 'flower'
205,B0001X0DQW, 'bird'
206,B0001X0DQW, 'truly'
207,B000212VH2, 'crayon'
208,B00021HB90, 'build'
209,B00021HB90, 'amazing'
210,B00021HBN6, 'mouth'
211,B00021HBN6, 'classic'
212,B00021Z1XS, 'tail'
213,B00021Z1XS, 'build'
214,B00021Z1XS, 'independence'
215,B00021Z1XS, 'prevent'
216,B00022F0WE, 'phone'
217,B00022F0WE, 'big'
218,B00022F0WE, 'introduce'
219,B000231EKA, 'automatic'
220,B000231EKA, 'service'
221,B000231EKA, 'duck'
222,B000231EKA, 'visual'
223,B000231EKA, 'underneath'
224,B000231EKA, 'long'
225,B000231EX2, 'crawl'
226,B000231EX2, 'bounce'
227,B000246L8E, 'stick'
228,B000284ZNI, 'cookie'
229,B000284ZNI, 'sing'
230,B000284ZNI, 'sell'
231,B000284ZNI, 'introduce'
232,B0002CK9SE, 'build'
233,B0002CK9SE, 'lift'
234,B0002CK9SE, 'excitement'
235,B0002CK9SE, 'big'
236,B0002HZPVK, 'trailer'
237,B0002HZPVK, 'rain'
238,B0002HZPVK, 'tote'
239,B0002HZPVK, 'outdoor'
240,B0002HZPVK, 'lift'
241,B0002HZPVK, 'book'
242,B0002IK9CO, 'brightly'
243,B0006NDB6Q, 'outdoor'
244,B0006NDB6Q, 'classic'
245,B0006NDB6Q, 'lb'
246,B00079407S, 'build'
247,B00079407S, 'easily'
248,B00079RC5K, 'fitness'
249,B0007CSEYA, 'toxic'
250,B0007CSEYA, 'connect'
251,B0007CSEYA, 'classic'
252,B0007CSEYA, 'month'
253,B0007RKD9E, 'crawl'
254,B0007RKD9E, 'mom'
255,B0007RKD9E, 'sit'
256,B0007V63K8, 'cookie'
257,B0007V63K8, 'sing'
258,B0007WWZK4, 'tail'
259,B0007WWZK4, 'crawl'
260,B0007WWZK4, 'fish'
261,B0007WWZK4, 'mouth'
262,B0007WWZK4, 'delight'
263,B0007WWZKE, 'versatile'
264,B0007WWZKE, 'long'
265,B0007WWZKE, 'completely'
266,B0007WWZKE, 'really'
267,B0007WX0NU, 'bright'
268,B0007WX0NU, 'brightly'
269,B0007WX0NU, 'sing'
270,B0007WX0NU, 'maker'
271,B0007WX0QC, 'educational'
272,B0007YDCKE, 'wash'
273,B0007YDCKE, 'quiet'
274,B0007YDCKE, 'bounce'
275,B00080VMF4, 'educational'
276,B00080VMF4, 'mom'
277,B00080VMF4, 'sit'
278,B00099EBH0, 'quiet'
279,B00099EBH0, 'month'
280,B00099EBH0, 'sit'
281,B00099EBH0, 'turn'
282,B00099EBH0, 'amazing'
283,B0009S5U26, 'north'
284,B0009S5U26, 'boat'
285,B0009S5U26, 'track'
286,B0009S5U26, 'silly'
287,B000A42YB4, 'brightly'
288,B000A42YB4, 'silly'
289,B000A42YB4, 'month'
290,B000A88KOK, 'circle'
291,B000A88KOK, 'visual'
292,B000A88KOK, 'life'
293,B000AM2K56, 'lawn'
294,B000AM2K56, 'new'
295,B000B74E9A, 'door'
296,B000B74E9A, 'classic'
297,B000B74E9A, 'long'
298,B000B74E9A, 'start'
299,B000B74E9A, 'truly'
300,B000B74E9K, 'trailer'
301,B000B74E9K, 'versatile'
302,B000B74E9K, 'long'
303,B000BC7T9W, 'concept'
304,B000BC7T9W, 'lb'
305,B000BC7T9W, 'big'
306,B000BC7T9W, 'introduce'
307,B000BC7T9W, 'start'
308,B000BI8EMC, 'convenient'
309,B000BI8EMC, 'sit'
310,B000BN8XLY, 'bag'
311,B000BN8XLY, 'mower'
312,B000BN8YNG, 'bag'
313,B000BN8YNG, 'stick'
314,B000BNEN90, 'bag'
315,B000BNEN90, 'stick'
316,B000BNEO9O, 'connector'
317,B000BNEO9O, 'link'
318,B000BPN3IU, 'fitness'
319,B000BPN3IU, 'emission'
320,B000BPN3IU, 'completely'
321,B000BR9DNC, 'boat'
322,B000C9DYPW, 'crawl'
323,B000CBURPU, 'rain'
324,B000CBURPU, 'visual'
325,B000CBURPU, 'inside'
326,B000E5VEBA, 'duck'
327,B000E5VEBA, 'anniversary'
328,B000E5VEBA, 'amazing'
329,B000E8S9WO, 'duck'
330,B000E8S9WO, 'approximately'
331,B000E8S9WO, 'preschool'
332,B000ENRW4U, 'comb'
333,B000ENRW4U, 'fish'
334,B000ENRW4U, 'door'
335,B000ENRW4U, 'boat'
336,B000ENRW4U, 'inside'
337,B000EOEAFI, 'picture'
